"ba62_verd - RawData"
"Wavelength nm."	"Abs."
643,00	-0,00194
644,00	-0,00172
645,00	-0,00140
646,00	-0,00174
647,00	-0,00183
648,00	-0,00188
649,00	-0,00175
650,00	-0,00172
651,00	-0,00175
652,00	-0,00168
653,00	-0,00165
654,00	-0,00165
655,00	-0,00168
656,00	-0,00183
657,00	-0,00186
658,00	-0,00166
659,00	-0,00162
660,00	-0,00186
661,00	-0,00169
662,00	-0,00195
663,00	-0,00175
664,00	-0,00159
665,00	-0,00169
666,00	-0,00172
667,00	-0,00177
668,00	-0,00156
669,00	-0,00175
670,00	-0,00174
671,00	-0,00182
672,00	-0,00188
673,00	-0,00174
674,00	-0,00166
675,00	-0,00151
676,00	-0,00182
677,00	-0,00191
678,00	-0,00192
679,00	-0,00194
680,00	-0,00175
681,00	-0,00191
682,00	-0,00182
683,00	-0,00183
684,00	-0,00194
685,00	-0,00183
686,00	-0,00175
687,00	-0,00159
688,00	-0,00174
689,00	-0,00185
690,00	-0,00200
691,00	-0,00172
692,00	-0,00150
693,00	-0,00157
694,00	-0,00192
695,00	-0,00191
696,00	-0,00197
697,00	-0,00182
698,00	-0,00183
699,00	-0,00191
700,00	-0,00203
701,00	-0,00203
702,00	-0,00191
703,00	-0,00188
704,00	-0,00179
705,00	-0,00169
706,00	-0,00188
707,00	-0,00194
708,00	-0,00197
709,00	-0,00204
710,00	-0,00194
711,00	-0,00165
712,00	-0,00186
713,00	-0,00203
714,00	-0,00215
715,00	-0,00188
716,00	-0,00195
717,00	-0,00211
718,00	-0,00204
719,00	-0,00201
720,00	-0,00166
721,00	-0,00191
722,00	-0,00212
723,00	-0,00186
724,00	-0,00183
725,00	-0,00162
726,00	-0,00191
727,00	-0,00223
728,00	-0,00179
729,00	-0,00166
730,00	-0,00203
731,00	-0,00212
732,00	-0,00186
733,00	-0,00160
734,00	-0,00182
735,00	-0,00192
736,00	-0,00174
737,00	-0,00172
738,00	-0,00204
739,00	-0,00186
740,00	-0,00165
741,00	-0,00197
742,00	-0,00206
743,00	-0,00192
744,00	-0,00175
745,00	-0,00166
746,00	-0,00168
747,00	-0,00186
748,00	-0,00191
749,00	-0,00174
750,00	-0,00174
751,00	-0,00183
752,00	-0,00200
753,00	-0,00191
754,00	-0,00177
755,00	-0,00166
756,00	-0,00195
757,00	-0,00177
758,00	-0,00168
759,00	-0,00182
760,00	-0,00229
761,00	-0,00203
762,00	-0,00200
763,00	-0,00183
764,00	-0,00194
765,00	-0,00211
766,00	-0,00186
767,00	-0,00160
768,00	-0,00160
769,00	-0,00197
770,00	-0,00182
771,00	-0,00175
772,00	-0,00197
773,00	-0,00182
774,00	-0,00192
775,00	-0,00169
776,00	-0,00209
777,00	-0,00186
778,00	-0,00191
779,00	-0,00137
780,00	-0,00177
781,00	-0,00186
782,00	-0,00153
783,00	-0,00186
784,00	-0,00200
785,00	-0,00195
786,00	-0,00166
787,00	-0,00195
788,00	-0,00220
789,00	-0,00204
790,00	-0,00191
791,00	-0,00172
792,00	-0,00188
793,00	-0,00159
794,00	-0,00165
795,00	-0,00211
796,00	-0,00191
797,00	-0,00191
798,00	-0,00214
799,00	-0,00201
800,00	-0,00204
