"ba37-FL210-1_500 - RawData"
"Wavelength nm."	"Abs."
551,00	0,67044
552,00	0,67297
553,00	0,67381
554,00	0,67598
555,00	0,67744
556,00	0,67911
557,00	0,68001
558,00	0,68080
559,00	0,68182
560,00	0,68309
561,00	0,68295
562,00	0,68208
563,00	0,68196
564,00	0,68253
565,00	0,68150
566,00	0,68002
567,00	0,67928
568,00	0,67836
569,00	0,67714
570,00	0,67494
571,00	0,67265
572,00	0,67012
573,00	0,66663
574,00	0,66277
575,00	0,65897
576,00	0,65656
577,00	0,65196
578,00	0,64725
579,00	0,64230
580,00	0,63870
581,00	0,63342
582,00	0,62755
583,00	0,62140
584,00	0,61388
585,00	0,60715
586,00	0,59891
587,00	0,59233
588,00	0,58537
589,00	0,57732
590,00	0,56854
591,00	0,55939
592,00	0,55107
593,00	0,54126
594,00	0,53230
595,00	0,52109
596,00	0,51015
597,00	0,50029
598,00	0,49033
599,00	0,47917
600,00	0,46899
601,00	0,45892
602,00	0,44720
603,00	0,43690
604,00	0,42574
605,00	0,41483
606,00	0,40282
607,00	0,39117
608,00	0,38136
609,00	0,36992
610,00	0,35934
611,00	0,34882
612,00	0,33824
613,00	0,32817
614,00	0,31894
615,00	0,30771
616,00	0,29700
617,00	0,28720
618,00	0,27798
619,00	0,26720
620,00	0,25688
621,00	0,24786
622,00	0,23897
623,00	0,22984
624,00	0,22040
625,00	0,21114
626,00	0,20146
627,00	0,19176
628,00	0,18358
629,00	0,17514
630,00	0,16679
631,00	0,15967
632,00	0,15196
633,00	0,14589
634,00	0,13945
635,00	0,13240
636,00	0,12569
637,00	0,11928
638,00	0,11382
639,00	0,10861
640,00	0,10339
641,00	0,09789
642,00	0,09366
643,00	0,08871
644,00	0,08443
645,00	0,07993
646,00	0,07587
647,00	0,07286
648,00	0,06812
649,00	0,06407
650,00	0,06183
651,00	0,05804
652,00	0,05513
653,00	0,05267
654,00	0,04971
655,00	0,04749
656,00	0,04507
657,00	0,04140
658,00	0,03896
659,00	0,03737
660,00	0,03493
661,00	0,03233
662,00	0,03133
663,00	0,02951
664,00	0,02808
665,00	0,02596
666,00	0,02371
667,00	0,02252
668,00	0,02159
669,00	0,02087
670,00	0,01881
671,00	0,01790
672,00	0,01729
673,00	0,01628
674,00	0,01549
675,00	0,01497
676,00	0,01387
677,00	0,01262
678,00	0,01219
679,00	0,01022
680,00	0,01067
681,00	0,01038
682,00	0,00894
683,00	0,00856
684,00	0,00775
685,00	0,00690
686,00	0,00641
687,00	0,00626
688,00	0,00583
689,00	0,00514
690,00	0,00482
691,00	0,00441
692,00	0,00435
693,00	0,00417
694,00	0,00401
695,00	0,00291
696,00	0,00299
697,00	0,00394
698,00	0,00246
699,00	0,00272
700,00	0,00343
701,00	0,00294
702,00	0,00316
703,00	0,00288
704,00	0,00227
705,00	0,00310
706,00	0,00389
707,00	0,00342
708,00	0,00348
709,00	0,00279
710,00	0,00258
711,00	0,00182
712,00	0,00092
713,00	0,00060
714,00	0,00150
715,00	-0,00011
716,00	-0,00017
717,00	-0,00017
718,00	0,00009
719,00	0,00055
720,00	-0,00060
721,00	-0,00089
722,00	-0,00166
723,00	-0,00087
724,00	-0,00143
725,00	-0,00093
726,00	-0,00050
727,00	0,00006
728,00	-0,00087
729,00	-0,00114
730,00	-0,00146
731,00	-0,00070
732,00	-0,00085
733,00	-0,00061
734,00	-0,00075
735,00	-0,00085
